position,bowler,team,matches,innings,wickets,economy,impact,bbi,overs,balls,dot_balls,maiden_overs,runs,avg,4wh,5wh
1,Bhuvneshwar Kumar,RCB,8,8,14,7.61,351,3--5,31,186,72,0,236,16.85,0,0
2,Anshul Kamboj,CSK,8,8,14,8.56,284.8,3--22,27.4,166,75,0,237,16.92,0,0
3,Eshan Malinga,SRH,8,8,14,9.44,293.1,4--32,27,162,61,0,255,18.21,1,0
4,Jofra Archer,RR,8,8,13,8.03,343,3--20,29,174,88,1,233,17.92,0,0
5,Prince Yadav,LSG,8,8,13,8.06,355.8,3--32,30,180,77,0,242,18.61,0,0
6,Kagiso Rabada,GT,8,8,13,9.48,385.1,3--25,31,186,79,0,294,22.61,0,0
7,Prasidh Krishna,GT,7,7,12,10.34,243.9,4--28,26,156,53,0,269,22.41,1,0
8,Ravi Bishnoi,RR,8,8,11,9.54,232.9,4--41,24,144,40,0,229,20.81,1,0
9,Mohsin Khan,LSG,4,4,9,6.37,276.4,5--23,16,96,49,3,102,11.33,0,1
10,Krunal Pandya,RCB,8,8,9,8.85,227.9,2--30,27,162,45,0,239,26.55,0,0
11,Kartik Tyagi,KKR,8,7,9,9.62,211.5,3--22,27,162,62,0,260,28.88,0,0
12,Jamie Overton,CSK,7,7,9,9.73,188.2,4--18,19,114,37,0,185,20.55,1,0
13,Vaibhav Arora,KKR,8,7,9,10.28,225.2,2--24,28,168,60,0,288,32,0,0
14,Josh Hazlewood,RCB,5,5,8,7.89,237.9,4--12,19.3,117,55,0,154,19.25,1,0
15,Mohammed Siraj,GT,8,8,8,7.93,273.3,2--23,29,174,86,0,230,28.75,0,0
